step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
42000,teacher_h,adjacent,41500,500,0.001036,0.000342,0.000694,0.974287
42000,teacher_h,vs_initial,0,42000,0.930127,0.676615,0.253512,0.010865
42500,student_h,adjacent,42000,500,0.001771,0.000392,0.001379,0.982319
42500,student_h,vs_initial,0,42500,0.928303,0.676488,0.251814,0.009926
42500,teacher_h,adjacent,42000,500,0.001281,0.000343,0.000938,0.984072
42500,teacher_h,vs_initial,0,42500,0.929182,0.676619,0.252563,0.009931
43000,student_h,adjacent,42500,500,0.002671,0.000658,0.002012,0.951034
43000,student_h,vs_initial,0,43000,0.929870,0.676275,0.253595,0.008750
43000,teacher_h,adjacent,42500,500,0.002170,0.000635,0.001535,0.949432
43000,teacher_h,vs_initial,0,43000,0.929551,0.676420,0.253131,0.008624
43500,student_h,adjacent,43000,500,0.001533,0.000411,0.001122,0.984992
43500,student_h,vs_initial,0,43500,0.926391,0.676566,0.249825,0.008805
43500,teacher_h,adjacent,43000,500,0.001305,0.000354,0.000951,0.988110
43500,teacher_h,vs_initial,0,43500,0.926372,0.676547,0.249825,0.008787
44000,student_h,adjacent,43500,500,0.001041,0.000263,0.000778,0.990335
44000,student_h,vs_initial,0,44000,0.927526,0.676622,0.250904,0.009282
44000,teacher_h,adjacent,43500,500,0.000994,0.000270,0.000724,0.991337
44000,teacher_h,vs_initial,0,44000,0.927571,0.676610,0.250960,0.009234
44500,student_h,adjacent,44000,500,0.001282,0.000275,0.001007,0.984939
44500,student_h,vs_initial,0,44500,0.927649,0.676548,0.251102,0.009578
44500,teacher_h,adjacent,44000,500,0.001170,0.000300,0.000870,0.982254
44500,teacher_h,vs_initial,0,44500,0.928386,0.676731,0.251655,0.009597
45000,student_h,adjacent,44500,500,0.001096,0.000336,0.000760,0.983645
45000,student_h,vs_initial,0,45000,0.927183,0.676512,0.250671,0.009194
45000,teacher_h,adjacent,44500,500,0.000956,0.000314,0.000642,0.986132
