stop,split,name,n,gm_rel_mase
B7_k0_bb200k_student,all,all,97,1.332480
B7_k0_bb200k_student,term,long,21,1.558361
B7_k0_bb200k_student,term,medium,21,1.563067
B7_k0_bb200k_student,term,short,55,1.180940
B7_k0_bb200k_student,domain,Econ/Fin,6,2.070109
B7_k0_bb200k_student,domain,Energy,32,1.553269
B7_k0_bb200k_student,domain,Healthcare,5,1.230150
B7_k0_bb200k_student,domain,Nature,15,0.943425
B7_k0_bb200k_student,domain,Sales,4,0.916791
B7_k0_bb200k_student,domain,Transport,15,1.132746
B7_k0_bb200k_student,domain,Web/CloudOps,20,1.469733
B8_k0_bb40k_student,all,all,97,1.307417
B8_k0_bb40k_student,term,long,21,1.519109
B8_k0_bb40k_student,term,medium,21,1.529233
B8_k0_bb40k_student,term,short,55,1.162902
B8_k0_bb40k_student,domain,Econ/Fin,6,1.732000
B8_k0_bb40k_student,domain,Energy,32,1.572033
B8_k0_bb40k_student,domain,Healthcare,5,1.256314
B8_k0_bb40k_student,domain,Nature,15,0.947053
B8_k0_bb40k_student,domain,Sales,4,0.872691
B8_k0_bb40k_student,domain,Transport,15,1.105772
B8_k0_bb40k_student,domain,Web/CloudOps,20,1.414912
B8_k0_bb100k_student,all,all,97,1.336779
B8_k0_bb100k_student,term,long,21,1.555704
B8_k0_bb100k_student,term,medium,21,1.579876
B8_k0_bb100k_student,term,short,55,1.183598
B8_k0_bb100k_student,domain,Econ/Fin,6,2.049351
B8_k0_bb100k_student,domain,Energy,32,1.593553
B8_k0_bb100k_student,domain,Healthcare,5,1.213007
B8_k0_bb100k_student,domain,Nature,15,0.968993
B8_k0_bb100k_student,domain,Sales,4,0.902503
B8_k0_bb100k_student,domain,Transport,15,1.116565
B8_k0_bb100k_student,domain,Web/CloudOps,20,1.433536
B9_k0_bb40k_student,all,all,97,1.557920
B9_k0_bb40k_student,term,long,21,1.761338
B9_k0_bb40k_student,term,medium,21,1.913964
B9_k0_bb40k_student,term,short,55,1.374248
B9_k0_bb40k_student,domain,Econ/Fin,6,2.077054
B9_k0_bb40k_student,domain,Energy,32,1.847805
B9_k0_bb40k_student,domain,Healthcare,5,1.253824
